Strategy 1,Strategy 2,winner,# cards played,wars
2,2,2,341,17
2,2,1,571,45
2,2,1,176,16
2,2,2,190,22
2,2,2,249,23
2,2,1,156,8
2,2,2,253,17
2,2,1,73,7
2,2,2,482,28
2,2,1,79,5
2,2,1,295,21
2,2,2,206,18
2,2,1,180,18
2,2,1,866,70
2,2,1,365,21
2,2,2,395,31
2,2,2,278,16
2,2,2,698,54
2,2,2,154,10
2,2,1,95,7
2,2,2,280,18
2,2,2,89,7
2,2,1,102,8
2,2,1,107,11
2,2,1,135,11
2,2,2,240,16
2,2,2,156,14
2,2,2,248,22
2,2,1,115,9
2,2,2,84,2
2,2,2,300,14
2,2,1,32,3
2,2,1,45,3
2,2,2,139,11
2,2,1,157,11
2,2,2,442,36
2,2,1,128,10
2,2,2,176,10
2,2,1,444,36
2,2,1,196,18
2,2,2,145,3
2,2,1,65,3
2,2,2,90,10
2,2,2,143,9
2,2,2,386,30
2,2,2,87,7
2,2,1,143,11
2,2,2,185,15
2,2,2,114,14
2,2,1,132,8
2,2,1,394,28
2,2,1,225,17
2,2,1,314,22
2,2,1,295,31
2,2,1,97,7
2,2,1,427,35
2,2,1,489,31
2,2,2,135,11
2,2,1,128,10
2,2,1,404,36
2,2,2,175,11
2,2,2,274,18
2,2,1,70,6
2,2,2,279,19
2,2,1,264,18
2,2,2,54,4
2,2,1,44,6
2,2,2,232,24
3,0,1,2600,8
3,0,1,2600,23
3,0,1,2600,6
3,0,1,339,13
3,0,1,1049,23
3,0,1,2600,18
3,0,1,2600,11
3,0,1,141,7
3,0,1,1305,11
3,0,1,2600,6
3,0,1,629,11
3,0,1,2600,24
3,0,1,199,3
3,0,1,2600,16
3,0,1,880,15
3,0,1,2600,2
3,0,1,2600,5
3,0,1,2600,11
3,0,1,2600,16
3,0,1,2600,16
3,0,1,2600,8
3,0,1,650,11
3,0,1,2600,8
3,0,1,2600,13
3,0,1,775,17
3,0,1,2600,34
3,0,1,676,12
3,0,1,922,16
3,0,1,2600,8
3,0,1,2600,25
3,0,1,963,15
3,0,1,63,5
3,0,1,2600,11
3,0,1,2600,19
3,0,1,2600,19
3,0,2,2600,9
3,0,1,1004,20
3,0,1,2600,8
3,0,1,2600,7
3,0,1,2600,3
3,0,1,1323,30
3,0,2,2600,19
3,0,1,2600,18
3,0,1,2600,4
3,0,1,1953,25
3,0,1,619,12
3,0,1,2600,6
3,0,1,1751,23
3,0,1,400,23
3,0,1,251,11
3,0,1,2600,3
3,0,1,2600,2
3,0,1,2600,13
3,0,1,954,10
3,0,1,2600,4
3,0,1,2600,7
3,0,1,2600,13
3,0,1,1232,16
3,0,1,1364,20
3,0,1,2600,15
3,0,1,2600,10
3,0,1,73,5
3,0,1,259,11
3,0,2,2600,4
3,0,2,2600,9
3,0,1,622,20
3,0,1,1167,17
3,0,1,1284,24
3,0,1,1106,18
3,0,1,2600,13
3,0,1,2600,10
3,0,1,2600,16
3,0,1,1375,19
3,0,1,2600,5
3,0,1,2600,16
3,0,1,914,12
3,0,1,2600,13
3,0,1,2600,6
3,0,1,1005,33
3,0,1,508,12
3,0,1,192,8
3,0,1,2600,19
3,0,1,2600,20
3,0,1,2600,16
3,0,1,695,15
3,0,1,814,13
3,0,1,2600,7
3,0,1,699,25
3,0,1,2600,12
3,0,1,721,17
3,0,1,2600,19
3,0,1,2600,14
3,0,1,313,12
3,0,1,2600,26
3,0,1,2600,9
3,0,2,2600,8
3,0,1,1344,8
3,0,1,2600,15
3,0,1,2600,21
3,0,1,113,9
3,1,1,108,12
3,1,1,117,5
3,1,2,82,6
3,1,2,361,23
3,1,1,449,33
3,1,1,201,7
3,1,1,388,26
3,1,1,91,7
3,1,1,62,4
3,1,1,272,22
3,1,1,125,13
3,1,1,235,13
3,1,1,241,23
3,1,1,32,4
3,1,1,338,28
3,1,1,79,5
3,1,1,111,5
3,1,1,140,14
3,1,1,548,36
3,1,2,122,8
3,1,1,170,13
3,1,1,179,15
3,1,2,119,8
3,1,1,347,29
3,1,1,224,14
3,1,1,259,23
3,1,1,110,10
3,1,2,188,12
3,1,1,118,6
3,1,1,189,11
3,1,1,418,34
3,1,2,129,7
3,1,1,59,6
3,1,1,389,27
3,1,1,168,12
3,1,2,25,3
3,1,1,120,4
3,1,2,317,15
3,1,1,67,3
3,1,1,374,32
3,1,1,42,4
3,1,1,108,8
3,1,2,101,2
3,1,1,114,16
3,1,1,206,12
3,1,1,92,9
3,1,1,59,5
3,1,2,172,9
3,1,2,267,27
3,1,2,257,13
3,1,1,159,9
3,1,2,209,11
3,1,1,405,27
3,1,1,49,3
3,1,1,117,11
3,1,1,213,11
3,1,1,56,6
3,1,1,377,29
3,1,1,372,28
3,1,1,91,7
